"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1182676934842564609","x1255589600409595907",2020-04-29 20:07:43,"Lab_HDig","Neste dia das #HumanidadesDigitais fiquem a conhecer melhor o trabalho desenvolvido nesta área seguindo a hashtag #dayofdh2020 
#digitalhumanities https://t.co/v8ugP5Ltzz","Twitter for Android",146,,,,TRUE,FALSE,3,2,,,"HumanidadesDigitais dayofdh2020 digitalhumanities",,"twitter.com/dani_sanches/s…","https://t.co/v8ugP5Ltzz","https://twitter.com/dani_sanches/status/1255426218880569344",,,,,,,,,,,"pt","x1255426218880569344","O trabalho na quarentena continua!! Estamos inspecionando a melhor maneira de criar uma plataforma (online) colaborativa! @Lab_HDig #dayofdh2020",2020-04-29 09:18:29,"Twitter Web App",9,3,"x1153612563483103232","dani_sanches","Danielle Sanches",170,656,105,"Lisboa","Historiadora/ Humanista Digital no @ihc_fcsh
#DigitalHumanities #DeepMapping #QSR
#HGIS #SpatialHumanities",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Lab_HDig/status/1255589600409595907","Laboratório de Humanidades Digitais (Lab_HDig)","Lisboa","O Lab_HDig (@nova_fcsh / @NOVAunl) realiza actividades de formação, investigação, apoio a investigadores e projectos nas Humanidades Digitais.","https://t.co/nzhZhrTHr2",FALSE,188,139,4,78,165,2019-10-11 15:19:45,FALSE,"https://t.co/nzhZhrTHr2","http://dhlab.fcsh.unl.pt",,"https://pbs.twimg.com/profile_banners/1182676934842564609/1570809398",,"http://pbs.twimg.com/profile_images/1208125952879935493/Cux-I84m_normal.jpg"
"x1182676934842564609","x1255532601760194567",2020-04-29 16:21:13,"Lab_HDig","We solemnly swear that ... the next #DHangout will also be very interesting and explanatory - about '#Mapping imaginary places in fantasy #literature: a #HarryPotter ⚡️case study.’ Watch it tomorrow at 4pm UK and Lisbon time! 
#digitalhumanities 
#dayofdh2020 https://t.co/IonQV4dEzk","Twitter Web App",259,,,,TRUE,FALSE,4,3,,,"DHangout Mapping literature HarryPotter digitalhumanities dayofdh2020",,"twitter.com/schambers3/sta…","https://t.co/IonQV4dEzk","https://twitter.com/schambers3/status/1255372406333505539",,,,,,,,,,,"en","x1255372406333505539","Another #dayofdh2020 shoutout to the #DHangout coorganised by @LancsDigHum @patymurrieta @GhentCDH by yours truly and @Lab_HDig @DanielAlvesFCSH I’m so excited about this Friday’s talk by @DrAnnaMack https://t.co/0FQyzRakc2",2020-04-29 05:44:40,"Twitter for iPhone",16,4,"x16584600","schambers3","Sally Chambers",2045,1543,7506,"Brussels, Belgium","A (digital) library-geek coordinating digital humanities research @GhentCDH passionate about @GLAM_labs @NetPreserve @DARIAHeu @DARIAHbe",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Lab_HDig/status/1255532601760194567","Laboratório de Humanidades Digitais (Lab_HDig)","Lisboa","O Lab_HDig (@nova_fcsh / @NOVAunl) realiza actividades de formação, investigação, apoio a investigadores e projectos nas Humanidades Digitais.","https://t.co/nzhZhrTHr2",FALSE,188,139,4,78,165,2019-10-11 15:19:45,FALSE,"https://t.co/nzhZhrTHr2","http://dhlab.fcsh.unl.pt",,"https://pbs.twimg.com/profile_banners/1182676934842564609/1570809398",,"http://pbs.twimg.com/profile_images/1208125952879935493/Cux-I84m_normal.jpg"
"x228875500","x1255527795553427457",2020-04-29 16:02:07,"lema2r","My #dayofdh2020 so far: working on my text book about #DigitalHumanities and #InformationSciences. Business as usual in quarantine #COVID19 @hdcicuba https://t.co/sFZta695v0","Twitter for Android",149,,,,FALSE,FALSE,3,0,,,"dayofdh2020 DigitalHumanities InformationSciences COVID19",,,,,"http://pbs.twimg.com/media/EWyH26YXkAgCtBg.jpg","https://t.co/sFZta695v0","https://twitter.com/lema2r/status/1255527795553427457/photo/1","photo","http://pbs.twimg.com/media/EWyH26YXkAgCtBg.jpg","https://t.co/sFZta695v0","https://twitter.com/lema2r/status/1255527795553427457/photo/1",,"x966406486766292992","hdcicuba","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/ac26bceca6c10474.json","Cuba","Cuba","country","Cuba","CU","NA NA","NA NA","-84.9520078 -74.1316494 -74.1316494 -84.9520078 19.8264602 19.8264602 23.5949249 23.5949249","https://twitter.com/lema2r/status/1255527795553427457","Sulema Rodríguez-Roche","La Habana","Chief of Staff & Head of CEO Initiatives @tropixme. Associated Professor @fcomUH. Researcher & PM @hdcicuba. PhD. Information Sciences.",,FALSE,372,438,6,1065,871,2010-12-20 22:46:59,FALSE,,,,,"http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/989176290954575873/yGAeYycj_normal.jpg"
"x228875500","x1255537829419069443",2020-04-29 16:41:59,"lema2r","Feliz #dayofdh2020 humanos! Celebro el #diahd2020 con el equipazo que me rodea en Cuba y los muchos colegas que en todo el mundo trabajan en la preservación y el acceso a la memoria. Ahora es cuando más necesitamos a la cultura!  🧐https://t.co/A9M7DUh5Ji https://t.co/oUYg86Fgw6","Twitter Web App",254,,,,FALSE,FALSE,6,0,,,"dayofdh2020 diahd2020",,"tinyurl.com/ycpqtcow","https://t.co/A9M7DUh5Ji","https://tinyurl.com/ycpqtcow","http://pbs.twimg.com/media/EWyQoeQWAAAJQEq.jpg","https://t.co/oUYg86Fgw6","https://twitter.com/lema2r/status/1255537829419069443/photo/1","photo","http://pbs.twimg.com/media/EWyQoeQWAAAJQEq.jpg","https://t.co/oUYg86Fgw6","https://twitter.com/lema2r/status/1255537829419069443/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lema2r/status/1255537829419069443","Sulema Rodríguez-Roche","La Habana","Chief of Staff & Head of CEO Initiatives @tropixme. Associated Professor @fcomUH. Researcher & PM @hdcicuba. PhD. Information Sciences.",,FALSE,372,438,6,1065,871,2010-12-20 22:46:59,FALSE,,,,,"http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/989176290954575873/yGAeYycj_normal.jpg"
"x228875500","x1255589400672718856",2020-04-29 20:06:55,"lema2r","Adoro este proyecto! las canciones son estupendas, el procesamiento digital le aporta mucho valor y la experiencia museográfica  lograda con bajísimos recursos, es muy interesante. Este es un mensaje en forma de canción, para que nos cuidemos y volvamos a vernos. #dayofdh2020 https://t.co/Bf5Ohy2HU8","Twitter Web App",276,,,,TRUE,FALSE,5,1,,,"dayofdh2020",,"twitter.com/hdcicuba/statu…","https://t.co/Bf5Ohy2HU8","https://twitter.com/hdcicuba/status/1255586757346762752",,,,,,,,,,,"es","x1255586757346762752","#dayofdh2020 El proyecto 100 del Benny, dedicado al procesamiento de la obra musical de #BennyMoré, quiere regalar a la comunidad un mensaje hecho canción, para todos los que trabajamos desde casa. &gt;&gt; https://t.co/0Lssm5dBTY #quédateencasa #stayhome @canalhabana_cu https://t.co/S6veqax0Dx",2020-04-29 19:56:25,"Twitter Web App",11,3,"x966406486766292992","hdcicuba","HDCI Cuba",129,71,98,"Cuba","Proyecto académico de investigación sobre Humanidades Digitales y Ciencias de la Información de la Universidad de La Habana",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lema2r/status/1255589400672718856","Sulema Rodríguez-Roche","La Habana","Chief of Staff & Head of CEO Initiatives @tropixme. Associated Professor @fcomUH. Researcher & PM @hdcicuba. PhD. Information Sciences.",,FALSE,372,438,6,1065,871,2010-12-20 22:46:59,FALSE,,,,,"http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/989176290954575873/yGAeYycj_normal.jpg"
"x228875500","x1255551925082259457",2020-04-29 17:38:00,"lema2r","En @hdcicuba trabajamos por #proyectos y con el enfoque #crowdsourcing. Empezamos creando muchas #ideas y las emprendemos con las #infraestructuras de diferentes instituciones aliadas. #dayofdh2020 https://t.co/HfvcEWiYBO","Twitter Web App",197,,,,TRUE,FALSE,3,1,,,"proyectos crowdsourcing ideas infraestructuras dayofdh2020",,"twitter.com/hdcicuba/statu…","https://t.co/HfvcEWiYBO","https://twitter.com/hdcicuba/status/1255533811296845830",,,,,,,,,"x966406486766292992","hdcicuba","es","x1255533811296845830","#dayofdh2020 A finales de 2019 organizamos una incubadora de proyectos en la Facultad de Comunicación. 👉Compartimos la memoria audiovisual &gt;&gt; https://t.co/K1wh0xND6k https://t.co/9QpZU9cFky",2020-04-29 16:26:01,"Twitter Web App",9,1,"x966406486766292992","hdcicuba","HDCI Cuba",129,71,98,"Cuba","Proyecto académico de investigación sobre Humanidades Digitales y Ciencias de la Información de la Universidad de La Habana",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lema2r/status/1255551925082259457","Sulema Rodríguez-Roche","La Habana","Chief of Staff & Head of CEO Initiatives @tropixme. Associated Professor @fcomUH. Researcher & PM @hdcicuba. PhD. Information Sciences.",,FALSE,372,438,6,1065,871,2010-12-20 22:46:59,FALSE,,,,,"http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/989176290954575873/yGAeYycj_normal.jpg"
"x228875500","x1255579847381921792",2020-04-29 19:28:57,"lema2r","Que llegue a todos nuestro abrazo y la energía para seguir trabajando desde el confinamiento. #dayofdh2020 https://t.co/4PHRE64CE2","Twitter Web App",106,,,,TRUE,FALSE,2,1,,,"dayofdh2020",,"twitter.com/hdcicuba/statu…","https://t.co/4PHRE64CE2","https://twitter.com/hdcicuba/status/1255574113617412096",,,,,,,,,,,"es","x1255574113617412096","Queremos regalar estos versos a los humanistas digitales  en el #dayofdh2020. El autor es Daryel Hernández y lo interpreta Melissa Martín, ambos de nuestro grupo. Lo tradujimos al español, inglés y francés para que el regalo llegue a más colegas. https://t.co/RYFJ8L1kIO https://t.co/TuhGZsUQBi",2020-04-29 19:06:10,"Twitter Web App",9,1,"x966406486766292992","hdcicuba","HDCI Cuba",129,71,98,"Cuba","Proyecto académico de investigación sobre Humanidades Digitales y Ciencias de la Información de la Universidad de La Habana",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lema2r/status/1255579847381921792","Sulema Rodríguez-Roche","La Habana","Chief of Staff & Head of CEO Initiatives @tropixme. Associated Professor @fcomUH. Researcher & PM @hdcicuba. PhD. Information Sciences.",,FALSE,372,438,6,1065,871,2010-12-20 22:46:59,FALSE,,,,,"http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/989176290954575873/yGAeYycj_normal.jpg"
"x910489097956970497","x1255252528490582026",2020-04-28 21:48:18,"dh_hse","#dayofdh2020  Staying home and doing DH can be fun &amp; fruitful! For one thing, our cats got 10x smarter as they are now exposed to TONS of DH research. 

#StayDHome photo by our students: https://t.co/mAu1HLvj0V","Twitter Web App",190,,,,FALSE,FALSE,12,3,,,"dayofdh2020 StayDHome",,,,,"http://pbs.twimg.com/media/EWuMeCuXYAIGUyj.jpg","https://t.co/mAu1HLvj0V","https://twitter.com/dh_hse/status/1255252528490582026/photo/1","photo","http://pbs.twimg.com/media/EWuMeCuXYAIGUyj.jpg http://pbs.twimg.com/media/EWuNFbzX0AA9Hor.jpg http://pbs.twimg.com/media/EWuNTw5WsAIHLWV.jpg http://pbs.twimg.com/media/EWuNc8eWkAA9H_A.jpg","https://t.co/mAu1HLvj0V https://t.co/mAu1HLvj0V https://t.co/mAu1HLvj0V https://t.co/mAu1HLvj0V","https://twitter.com/dh_hse/status/1255252528490582026/photo/1 https://twitter.com/dh_hse/status/1255252528490582026/photo/1 https://twitter.com/dh_hse/status/1255252528490582026/photo/1 https://twitter.com/dh_hse/status/1255252528490582026/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dh_hse/status/1255252528490582026","DH HSE","Moscow, Russia","Research Centre for Digital Humanities at the Higher School of Economics, Moscow","https://t.co/SeQ3EoQRBr",FALSE,289,130,7,146,113,2017-09-20 13:01:31,FALSE,"https://t.co/SeQ3EoQRBr","http://hum.hse.ru/en/digital/",,"https://pbs.twimg.com/profile_banners/910489097956970497/1516486153",,"http://pbs.twimg.com/profile_images/954839360897257472/b0OBZV3U_normal.jpg"
"x910489097956970497","x1255516526226046980",2020-04-29 15:17:20,"dh_hse","Network analysis of animal connections in fables by our bachelor students @SU_HSE. They did not expect this would be an online presentation when they started the project, but managed just fine
#StayDHome  #dayofdh2020 https://t.co/euhwOk8Spd","Twitter Web App",217,,,,FALSE,FALSE,9,1,,,"StayDHome dayofdh2020",,,,,"http://pbs.twimg.com/media/EWx8PSGWsAIGd9R.jpg","https://t.co/euhwOk8Spd","https://twitter.com/dh_hse/status/1255516526226046980/photo/1","photo","http://pbs.twimg.com/media/EWx8PSGWsAIGd9R.jpg http://pbs.twimg.com/media/EWx9H7WXQAIQ78g.jpg http://pbs.twimg.com/media/EWx9KS_XYAEsl_S.jpg","https://t.co/euhwOk8Spd https://t.co/euhwOk8Spd https://t.co/euhwOk8Spd","https://twitter.com/dh_hse/status/1255516526226046980/photo/1 https://twitter.com/dh_hse/status/1255516526226046980/photo/1 https://twitter.com/dh_hse/status/1255516526226046980/photo/1",,"x112250522","SU_HSE","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dh_hse/status/1255516526226046980","DH HSE","Moscow, Russia","Research Centre for Digital Humanities at the Higher School of Economics, Moscow","https://t.co/SeQ3EoQRBr",FALSE,289,130,7,146,113,2017-09-20 13:01:31,FALSE,"https://t.co/SeQ3EoQRBr","http://hum.hse.ru/en/digital/",,"https://pbs.twimg.com/profile_banners/910489097956970497/1516486153",,"http://pbs.twimg.com/profile_images/954839360897257472/b0OBZV3U_normal.jpg"
"x910489097956970497","x1255482087089549312",2020-04-29 13:00:29,"dh_hse","#dayofdh2020 Meanwhile in DH Centre office in real life

broke: Digital Humanities
woke: Digital Robotics https://t.co/JIbKw4dXXD","Twitter Web App",105,"x1255473904971321344","x910489097956970497","dh_hse",FALSE,FALSE,2,0,,,"dayofdh2020",,,,,"http://pbs.twimg.com/media/EWxactNXkAA2MxO.jpg","https://t.co/JIbKw4dXXD","https://twitter.com/dh_hse/status/1255482087089549312/photo/1","photo","http://pbs.twimg.com/media/EWxactNXkAA2MxO.jpg","https://t.co/JIbKw4dXXD","https://twitter.com/dh_hse/status/1255482087089549312/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dh_hse/status/1255482087089549312","DH HSE","Moscow, Russia","Research Centre for Digital Humanities at the Higher School of Economics, Moscow","https://t.co/SeQ3EoQRBr",FALSE,289,130,7,146,113,2017-09-20 13:01:31,FALSE,"https://t.co/SeQ3EoQRBr","http://hum.hse.ru/en/digital/",,"https://pbs.twimg.com/profile_banners/910489097956970497/1516486153",,"http://pbs.twimg.com/profile_images/954839360897257472/b0OBZV3U_normal.jpg"
